track_id,artist_name,title,year,tempo,loudness,key,mode,time_signature,duration
TRBIAHA128F42A4C9B,Public Image Ltd,This Is Not A Love Song,1983,127.369,-10.347,9,0,4,251.50649
TRBIAVP12903CEDA19,Joe Bonamassa,I Know A Place,2010,75.064,-7.355,7,1,3,258.7424
TRBIAVU128EF3493BA,Asleep At The Wheel,The Letter That Johnny Walker Read,2002,122.166,-9.02,11,1,4,238.21016
TRBIBAQ128F93279F5,Bad Company,Crazy Circles,1979,194.283,-8.958,0,1,7,211.1473
TRBIBGN128F42ADC66,Phantom Planet,The Meantime,2004,122.488,-4.507,2,1,3,209.34485
TRBIBKA128F42947BF,Samy Deluxe,Die Meisten,2001,85.865,-7.557,1,1,4,235.98975
TRBIBLJ12903CCF436,Madonna,Papa Don't Preach,1986,121.948,-3.579,5,0,4,269.58322
TRBIBOJ128F14618D4,Dilated Peoples Featuring Black Thought,Hard Hitters,2001,87.326,-5.265,7,1,4,236.72118
TRBIBTE128E078E882,The Jam,Start!,1980,144.424,-12.793,7,1,4,147.64363
TRBIBTU128F92FDC9D,Tim Exile,Fortress,2009,110.0,-6.555,1,1,4,369.57995
TRBIBVM128F4262E9D,Drop Dead_ Gorgeous,Are You Happy (Album Version),2006,200.289,-3.973,0,0,1,96.10404
TRBICGT128E0792473,Guns N' Roses,Patience,1988,122.838,-5.454,6,1,4,402.36363
TRBICHF128F92E42FA,Willie Isz,Violet Heart Box,2009,83.573,-6.988,1,1,1,338.72934
TRBICPL128F9303BB0,Justo Almario,In Your Dreams,1995,216.557,-8.864,7,1,7,243.43465
TRBICVB128F9326B65,Strata,Night Falls (The Weight Of It),2007,125.562,-3.892,5,0,4,201.27302
TRBICWI128F4234787,Jeremy Spencer,It Hurts Me Too,2006,92.433,-11.992,0,1,3,289.77587
TRBIDRG128F92FC6E5,Carlos Nuñez,Gabriel's Oboe (La Mision),2007,131.986,-10.375,11,1,5,179.64363
TRBIEIZ128F148D778,Kanye West,Diamonds From Sierra Leone,2005,81.53,-5.597,7,1,4,247.64036
TRBIEXO128F429233D,Floyd Cramer,Near You,1964,83.724,-16.438,2,1,4,117.4722
TRBIFGK128F92F23A2,The Killers,A Dustland Fairytale,2008,134.734,-4.808,11,0,1,225.12281
